calltype,start_time,end_time,pause,SNR
I11.4,622.9,624.06,0.3,39
I69,624.36,626.38,17.12,31
I38.1,643.5,644.32,0.18,13
I39,644.5,645.08,0.42,24
I69,645.5,647.18,36.82,31
I11.4,684,685.32,1.42,26
I38.1,686.74,687.41,0.09,20
I39,687.5,688.17,0.22,27
I43.5,688.39,691.57,24.22,12
I38.1,715.79,716.5,0.29,17
I11.4,716.79,717.89,0.41,33
I69,718.3,719.94,89.85,23
I39,809.79,810.5,0.24,25
I69,810.74,812,97.58,28
I37.2,909.58,911,29.55,34
I11.4,940.55,941.66,8.62,35
I11.4,950.28,951.5,50.39,21
I38.1,1001.89,1002.5,0.8,22
I11.4,1003.3,1004.5,3.5,32
I39,1008.84,1009.5,33.5,24
I38.1,1043,1043.8,27.87,24
I39,1071.67,1072.33,0.17,37
I69,1072.5,1073.81,5.63,28
I38.1,1079.44,1080,0.33,20
I11.4,1080.33,1081.31,0.89,33
I69,1082.2,1083.25,181.81,23
I11.4,1265.06,1266.27,4.09,24
I39,1270.36,1271,0.27,20
I11.4,1271.27,1272.93,4.96,15
I38.1,1277.89,1278.34,0.66,22
I11.4,1279,1280.35,4.65,30
I11.4,1285,1286.63,0.68,11
I69,1287.31,1290.28,-1.78,12
I43.4,1291.15,1292.33,0.6,20
I11.4,1292.93,1294.41,1.15,15
I43.4,1295.56,1297.29,2.6,24
I39,1299.89,1300.5,0.07,25
I11.4,1300.57,1301.83,0.91,24
I69,1302.74,1305.22,3.86,27
I39,1309.08,1309.76,0.4,29
I69,1310.16,1311.37,0.23,25
I43.4,1311.6,1312.74,4.61,21
I11.5,1317.35,1318.9,-0.16,23
I11.4,1318.74,1320.08,9.79,12
I11.4,1329.87,1331.12,1.95,21
I11.4,1333.07,1334.16,0,21
I11.4,1334.16,1335.26,6.32,17
I11.4,1341.58,1342.7,0,25
I11.4,1342.7,1343.78,0.34,20
I43.4,1344.12,1345.5,26.4,24
I11.4,1371.9,1373,3.31,20
I43.4,1376.31,1377.5,0.79,25
I69,1378.29,1380.5,7.63,39
I11.4,1388.13,1389.22,18.56,28
I11.4,1407.78,1409.18,31.32,18
I11.4,1440.5,1441.5,16.8,25
I11.4,1458.3,1459.5,64.5,20
I38.1,1524,1524.72,0.41,23
I11.4,1525.13,1526.31,85.02,30
I38.1,1611.33,1611.76,0.45,25
I39,1612.21,1613,4.9,25
I11.5,1617.9,1619.35,8.48,18
I39,1627.83,1628.5,444.38,17
I11.4,2072.88,2073.89,104.3,13
I11.4,74.19,75.29,86.4,21
I11.4,161.69,163.12,0.28,16
I44,163.4,164.33,373.29,18
I11.4,537.62,539,3.27,18
I11.4,542.27,543.26,19.67,18
I11.4,562.93,564.12,61.38,13
I11.4,625.5,626.61,57.73,20
I11.4,684.34,685.36,53.64,11
I11.4,739,740.42,NA,19
I41.1,12.44,13.4,1.1,15
I41.2,14.5,14.91,0.53,17
I41.1,15.44,16.11,11,12
I41.1,27.11,28.13,-0.19,26
I41.1,27.94,29,0.31,39
I41.2,29.31,29.71,0.44,36
I41.1,30.15,30.82,0.49,37
I41.1,31.31,32,11.5,33
I41.1,43.5,44.58,4083.47,39
I41.1,2005.05,2006,17,17
I41.1,2023,2023.93,3.38,16
I41.1,2027.31,2028.13,5.43,11
I43.1,2033.56,2034.5,15.19,NA
I43.1,2049.69,2050.57,2.15,14
I43.1,2052.72,2053.6,0.57,14
I43.1,2054.17,2054.68,17,10
I43.1,10.36,11.33,1.17,13
I43.1,12.5,13.84,5.74,18
I43.1,19.58,20.5,2.24,27
I43.1,22.74,23.61,0.44,17
I43.1,24.05,24.5,0.39,10
I43.1,24.89,25.91,21.24,13
I43.1,47.15,48.16,4.46,25
I43.1,52.62,53.65,1.08,25
I43.1,54.73,55.85,0.33,29
I43.1,56.18,56.75,0.4,18
I43.1,57.15,58.29,24.71,21
I43.1,83,84,3.05,21
I43.1,87.05,87.87,0.63,18
I41.1,95.5,96.29,35.48,NA
I41.1,131.77,132.93,1462.36,15
I43.1,1595.29,1596.39,0.69,NA
I43.1,1597.08,1597.86,0.37,12
I43.1,1598.23,1599.5,5.77,23
I43.1,1605.27,1606.21,8.12,15
I43.1,1614.33,1615.43,12.93,20
I43.1,1628.36,1629.36,1.93,11
I43.1,1631.29,1632.36,32.04,17
I43.1,1664.4,1665.35,2.96,17
I43.1,1668.31,1669.23,41.85,17
I43.1,1711.08,1712,1.58,20
I43.1,1713.58,1714.57,170.08,10
I41.1,1884.65,1885.55,47.06,14
I41.1,1932.61,1933.64,17.51,18
I43.1,1951.15,1952.15,1.26,24
I43.1,1953.41,1954.71,5.41,23
I41.1,1960.12,1961.11,28.89,21
I43.1,1990,1991.12,1.38,28
I43.1,1992.5,1993.7,19.65,21
I43.1,2013.35,2014.33,1.67,29
I43.1,2016,2016.86,0.28,20
I43.1,2017.14,2017.7,0.47,10
I43.1,2018.17,2019.15,5.43,16
I43.2,2024.58,2026,21.6,NA
I43.1,2047.6,2048.33,0.59,NA
I43.1,2048.92,2050.11,0.96,15
I43.1,2051.07,2052.37,0.96,11
I43.1,2053.33,2054.68,34.75,11
I43.1,2089.43,2090.43,1.23,12
I43.1,2091.66,2092.94,0.42,23
I43.1,2093.36,2095,0.22,25
I43.1,2095.22,2096.44,112.72,23
I43.1,61.16,62,4.86,16
I43.1,66.86,67.82,16.53,28
I43.1,84.35,85.13,29.37,14
I43.1,114.5,115.7,1.67,17
I43.1,117.37,118.08,1.13,26
I43.1,119.21,120.38,0.18,31
