Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Peak Freq (Hz)	UNIT
198	Spectrogram 1	1	286.483284667	286.904181553	663.5	3491.9	0.421	2828.4	937.5	X
199	Spectrogram 1	1	286.998883352	287.482914771	593.6	3526.8	0.484	2933.2	2343.8	X
200	Spectrogram 1	1	287.724930481	288.156349789	733.3	3491.9	0.431	2758.6	984.4	X
201	Spectrogram 1	1	288.282618855	288.703515742	733.3	3491.9	0.421	2758.6	2062.5	X
202	Spectrogram 1	1	289.050755673	289.376950760	698.4	3491.9	0.326	2793.5	2250.0	X
203	Spectrogram 1	1	290.313446331	290.618596574	733.3	3596.6	0.305	2863.3	2156.2	X
204	Spectrogram 1	1	291.055400723	291.413163077	628.5	3526.8	0.358	2898.3	1921.9	X
205	Spectrogram 1	1	293.938544394	295.432728340	488.9	2479.2	1.494	1990.4	656.2	Z
206	Spectrogram 1	1	295.782618622	296.281130518	69.8	1466.6	0.499	1396.8	328.1	17
207	Spectrogram 1	1	297.635297161	297.739463826	104.8	1501.5	0.104	1396.8	328.1	19
208	Spectrogram 1	1	297.828749539	298.215654294	0.0	1431.7	0.387	1431.7	328.1	17
209	Spectrogram 1	1	299.048987613	299.421011416	314.3	2479.2	0.372	2165.0	328.1	X
210	Spectrogram 1	1	299.688868554	300.098094737	279.4	2514.2	0.409	2234.8	1078.1	X
211	Spectrogram 1	1	300.388273304	300.849582819	174.6	2444.3	0.461	2269.7	1078.1	X
212	Spectrogram 1	1	301.028154245	301.534106617	244.4	2514.2	0.506	2269.7	328.1	X
213	Spectrogram 1	1	301.742880901	302.152107085	209.5	2479.2	0.409	2269.7	1078.1	X
214	Spectrogram 1	1	302.375321367	302.888714215	209.5	2409.4	0.513	2199.9	1078.1	X
215	Spectrogram 1	1	302.948238023	303.560189514	244.4	2514.2	0.612	2269.7	984.4	X
216	Spectrogram 1	1	304.162868075	304.512570449	349.2	2444.3	0.350	2095.1	2015.6	X
217	Spectrogram 1	1	304.765546636	305.167332343	279.4	2479.2	0.402	2199.9	796.9	X
218	Spectrogram 1	1	305.435189481	305.807213284	349.2	2514.2	0.372	2165.0	750.0	X
219	Spectrogram 1	1	306.112272803	306.536379938	488.9	2584.0	0.424	2095.1	750.0	X
220	Spectrogram 1	1	306.841439457	307.191141832	523.8	2444.3	0.350	1920.5	2062.5	X
221	Spectrogram 1	1	307.390349217	308.015349206	384.1	2514.2	0.625	2130.1	2437.5	X
222	Spectrogram 1	1	311.451493970	312.872624897	453.9	2479.2	1.421	2025.3	703.1	Z
223	Spectrogram 1	1	313.230740660	313.777906612	139.7	1466.6	0.547	1326.9	328.1	Y
224	Spectrogram 1	1	314.819626406	314.945895472	34.9	1466.6	0.126	1431.7	46.9	19
225	Spectrogram 1	1	315.009030005	315.377314780	69.8	1501.5	0.368	1431.7	328.1	17
226	Spectrogram 1	1	316.405259413	317.685021296	453.9	2444.3	1.280	1990.4	796.9	Z
227	Spectrogram 1	1	318.018442741	318.544563849	104.8	1466.6	0.526	1361.8	328.1	Y
228	Spectrogram 1	1	319.628373331	320.249196239	0.0	1466.6	0.621	1466.6	281.2	Y
229	Spectrogram 1	1	323.180890528	324.579700027	663.5	2514.2	1.399	1850.7	843.8	Z
230	Spectrogram 1	1	324.753729528	325.235829386	69.8	1466.6	0.482	1396.8	281.2	17
231	Spectrogram 1	1	326.157080952	327.317795218	628.5	2479.2	1.161	1850.7	703.1	Z
232	Spectrogram 1	1	327.691894078	328.344284251	104.8	1466.6	0.652	1361.8	328.1	Y
233	Spectrogram 1	1	329.228167713	329.333391934	34.9	1501.5	0.105	1466.6	46.9	19
234	Spectrogram 1	1	329.375481623	329.933169997	0.0	1466.6	0.558	1466.6	281.2	17
235	Spectrogram 1	1	331.008271344	332.109461801	523.8	2549.1	1.101	2025.3	703.1	Z
236	Spectrogram 1	1	332.344283381	333.017718399	0.0	1431.7	0.673	1431.7	328.1	Y
237	Spectrogram 1	1	334.027870926	334.154139992	0.0	1466.6	0.126	1466.6	281.2	19
238	Spectrogram 1	1	334.175184836	334.743395633	0.0	1431.7	0.568	1431.7	281.2	17
239	Spectrogram 1	1	337.889112089	339.883159674	384.1	2409.4	1.994	2025.3	656.2	Z
240	Spectrogram 1	1	341.210404031	341.359213552	34.9	1501.5	0.149	1466.6	46.9	19
241	Spectrogram 1	1	341.418737361	342.147904015	69.8	1501.5	0.729	1431.7	93.8	17
