Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Peak Freq (Hz)	UNIT
236	Spectrogram 1	1	366.534993149	366.800158177	113.2	1267.9	0.265	1154.7	609.4	18
237	Spectrogram 1	1	367.377839130	367.933422997	158.5	1335.8	0.556	1177.3	421.9	17
238	Spectrogram 1	1	368.845444171	370.310165276	430.2	2060.4	1.465	1630.2	703.1	Z
239	Spectrogram 1	1	370.638464834	371.383452292	158.5	1381.1	0.745	1222.6	468.8	17
240	Spectrogram 1	1	374.817970745	375.651346546	158.5	1313.2	0.833	1154.7	421.9	17
241	Spectrogram 1	1	378.391385164	380.234913451	317.0	2015.1	1.844	1698.1	750.0	Z
242	Spectrogram 1	1	380.961813654	381.668920394	135.8	1290.6	0.707	1154.8	421.9	17
243	Spectrogram 1	1	383.310418184	383.878628957	67.9	1154.7	0.568	1086.8	562.5	17
244	Spectrogram 1	1	385.609895071	387.092037842	407.5	2128.3	1.482	1720.8	750.0	Z
245	Spectrogram 1	1	387.493823533	387.690252093	45.3	1313.2	0.196	1267.9	281.2	19
246	Spectrogram 1	1	387.752752090	388.350966341	67.9	1313.2	0.598	1245.3	421.9	17
247	Spectrogram 1	1	388.913466308	389.145609152	90.6	1313.2	0.232	1222.6	421.9	19
248	Spectrogram 1	1	389.181323436	389.422394850	113.2	1290.6	0.241	1177.4	562.5	18
249	Spectrogram 1	1	389.672394836	389.895609109	181.1	1222.6	0.223	1041.5	328.1	19
250	Spectrogram 1	1	389.931323392	390.431323363	67.9	1177.4	0.500	1109.5	281.2	17
251	Spectrogram 1	1	391.207630059	393.127272805	181.1	2037.7	1.920	1856.6	1968.8	Z
252	Spectrogram 1	1	393.633512980	393.767441544	135.8	1403.8	0.134	1268.0	234.4	19
253	Spectrogram 1	1	393.838870111	394.812084340	67.9	1403.8	0.973	1335.9	421.9	17
254	Spectrogram 1	1	397.972798443	398.847798392	67.9	1517.0	0.875	1449.1	328.1	17
255	Spectrogram 1	1	401.178341268	403.044412589	339.6	1992.5	1.866	1652.9	703.1	Z
256	Spectrogram 1	1	403.597983985	403.767626833	0.0	1403.8	0.170	1403.8	0.0	19
257	Spectrogram 1	1	403.821198258	404.562269644	45.3	1313.2	0.741	1267.9	421.9	17
258	Spectrogram 1	1	405.285483888	405.437269593	90.6	1267.9	0.152	1177.3	281.2	19
259	Spectrogram 1	1	405.526555302	405.758698146	113.2	1290.6	0.232	1177.4	515.6	18
260	Spectrogram 1	1	406.142626695	406.356912397	90.6	1290.6	0.214	1200.0	234.4	19
261	Spectrogram 1	1	406.410483823	407.089055212	67.9	1313.2	0.679	1245.3	328.1	17
262	Spectrogram 1	1	408.306892692	409.985464023	271.7	2015.1	1.679	1743.4	656.2	Z
263	Spectrogram 1	1	410.387249714	410.512249707	45.3	1290.6	0.125	1245.3	46.9	19
264	Spectrogram 1	1	410.556892562	411.253321093	45.3	1290.6	0.696	1245.3	328.1	17
265	Spectrogram 1	1	411.744392493	411.887249628	0.0	1200.0	0.143	1200.0	0.0	19
266	Spectrogram 1	1	412.012249620	412.315821031	22.6	1177.4	0.304	1154.8	46.9	18
267	Spectrogram 1	1	412.610463871	412.806892432	0.0	1154.7	0.196	1154.7	0.0	19
268	Spectrogram 1	1	412.878320999	413.574749530	67.9	1132.1	0.696	1064.2	421.9	17
269	Spectrogram 1	1	414.476116326	416.449330497	203.8	1901.9	1.973	1698.1	656.2	Z
270	Spectrogram 1	1	417.324330447	418.288616105	45.3	1154.7	0.964	1109.4	281.2	17
